step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
15,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.40000000000009,19.0,0.21739130434782586,,,0.0,0.0,57.0,0.6521739130434776,0.014523527328593022,0.15789473684210525,0.0,0,9,12,27,38,,36,57,6.000000000000003,0.06864988558352399,5.400000000000002,0.061784897025171585,30,27,33
16,C,all_agents,,,40,21,10,9,21,0,0.2437328502673841,0.2021528024460291,0.6626178418184909,0.01903970982694739,89,29,0.725,0,0.0,0.0,31.475,504,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C,participants_only,,,30,21,0,9,21,0,0.2648353036393077,0.22018815758391136,0.6626178418184909,0.02085922441585034,89,29,0.9666666666666667,0,0.0,0.0,25.3,504,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C,nonparticipants_only,,,10,0,10,0,0,0,0.18042549015161327,0.13476081461786216,0.4267804706342938,0.008237403600468022,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,C,step_totals,,,,,,,,,,,,,,,,,,,,,79.20000000000007,20.0,0.25252525252525226,,,0.0,0.0,47.0,0.5934343434343429,0.013964306583691142,0.1276595744680851,0.0,0,6,8,59,40,,37,47,6.600000000000003,0.0833333333333333,5.600000000000002,0.07070707070707068,33,28,42
17,C,all_agents,,,40,25,10,5,25,0,0.24812238113988394,0.20114203843379896,0.6761131281457513,0.020223844682748255,95,29,0.725,0,0.0,0.0,31.275,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,C,participants_only,,,30,25,0,5,25,0,0.2704693683136326,0.22145164426566616,0.6761131281457513,0.022297619778461997,95,29,0.9666666666666667,0,0.0,0.0,25.033333333333335,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,C,nonparticipants_only,,,10,0,10,0,0,0,0.1810814196186379,0.13598402421672623,0.42464656828112235,0.008009865366682772,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,C,step_totals,,,,,,,,,,,,,,,,,,,,,85.6000000000001,19.0,0.22196261682242965,,,0.0,0.0,55.0,0.6425233644859806,0.01406412386358861,0.10909090909090909,0.0,0,6,12,30,38,,36,55,5.8000000000000025,0.06775700934579434,5.8000000000000025,0.06775700934579434,29,29,35
18,C,all_agents,,,40,26,10,4,26,0,0.25195399316770223,0.20194057270570437,0.6890686030199212,0.02123082492916983,98,29,0.725,0,0.0,0.0,31.45,573,,,,,,,,,,,,,,,,,,,,,,,,,,,
