step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
17,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.90000000000009,19.5,0.22700814901047706,,,0.0,0.0,55.0,0.6402793946449353,0.01417509708037115,0.07272727272727272,0.0,0,4,13,33,39,,36,55,5.400000000000002,0.06286379511059367,6.000000000000003,0.06984866123399297,27,30,37
18,B,all_agents,,,40,25,10,5,25,0,0.2505112158155645,0.2003727273039172,0.682780620532565,0.021424694001304645,143,30,0.75,56,3.5357142857142856,1.4821428571428572,31.5,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,participants_only,,,30,25,0,5,25,0,0.2734377552178968,0.21815801813537022,0.682780620532565,0.023866431567796907,143,30,1.0,56,3.5357142857142856,1.4821428571428572,25.333333333333332,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,nonparticipants_only,,,10,0,10,0,0,0,0.18173159760856777,0.13706055285031143,0.42252333543971676,0.007791966794227532,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,step_totals,,,,,,,,,,,,,,,,,,,,,77.90000000000009,18.5,0.237483953786906,,,0.0,0.0,47.0,0.6033376123234909,0.014401918956694152,0.19148936170212766,0.08064516129032266,1,9,8,57,37,,36,47,6.400000000000003,0.08215661103979455,6.000000000000003,0.0770218228498074,32,30,39
19,B,all_agents,,,40,28,10,2,28,0,0.25479431594408986,0.2034774679599961,0.6954693957112624,0.02253820759482443,150,30,0.75,56,3.5357142857142856,1.4821428571428572,31.3,598,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,participants_only,,,30,28,0,2,28,0,0.2789335885258971,0.22235430895071606,0.6954693957112624,0.025192795052551203,150,30,1.0,56,3.5357142857142856,1.4821428571428572,25.066666666666666,598,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,nonparticipants_only,,,10,0,10,0,0,0,0.18237649819866805,0.13857084619726218,0.4204107187625182,0.007581991452298599,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.70000000000009,19.5,0.2275379229871643,,,0.0,0.0,55.0,0.6417736289381557,0.01376318066535072,0.12727272727272726,0.0,0,7,14,33,39,,36,55,5.200000000000002,0.06067677946324383,6.000000000000003,0.0700116686114352,26,30,37
20,B,all_agents,,,40,30,10,0,29,1,0.2588016698535618,0.2041737872781966,0.707650619882812,0.023652950788596194,155,30,0.75,56,3.5357142857142856,1.4821428571428572,31.475,636,,,,,,,,,,,,,,,,,,,,,,,,,,,
