step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
17,B,all_agents,,,40,19,10,11,19,0,0.2444991846145944,0.18996325758582894,0.6500585629681979,0.01639705793768069,127,30,0.75,44,3.4545454545454546,1.5909090909090908,32.225,527,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,participants_only,,,30,19,0,11,19,0,0.263052153660522,0.20462318063431978,0.6500585629681979,0.017554272725857606,127,30,1.0,44,3.4545454545454546,1.5909090909090908,26.3,527,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,nonparticipants_only,,,10,0,10,0,0,0,0.18884027747681165,0.1625593929679314,0.5043004643667509,0.00879486164812017,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000009,19.0,0.2159090909090907,,,0.0,0.0,58.0,0.6590909090909085,0.014771473227437304,0.15517241379310345,0.0,0,9,23,15,38,,33,58,5.000000000000002,0.05681818181818178,6.000000000000003,0.06818181818181815,25,30,36
18,B,all_agents,,,40,23,10,7,23,0,0.24880992703886273,0.19221620569449716,0.66405622044947,0.01733041010603334,131,30,0.75,44,3.4545454545454546,1.5909090909090908,32.4,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,participants_only,,,30,23,0,7,23,0,0.2685945494521374,0.20478654890470366,0.66405622044947,0.018698480670354626,131,30,1.0,44,3.4545454545454546,1.5909090909090908,26.533333333333335,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,nonparticipants_only,,,10,0,10,0,0,0,0.18945605979903873,0.16174659600309174,0.5017789620449171,0.008529023004639268,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,step_totals,,,,,,,,,,,,,,,,,,,,,79.40000000000008,18.0,0.22670025188916854,,,0.0,0.0,50.0,0.6297229219143571,0.015160243630081796,0.08,0.0,0,4,49,13,36,,32,50,5.400000000000002,0.0680100755667506,6.000000000000003,0.07556675062972289,27,30,28
19,B,all_agents,,,40,25,10,5,25,0,0.25345982899693903,0.1963140343638698,0.6774939716314912,0.018272730104994136,133,30,0.75,44,3.4545454545454546,1.5909090909090908,32.2,598,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,participants_only,,,30,25,0,5,25,0,0.2745909338490397,0.20517797790692413,0.6774939716314912,0.019820043877788046,133,30,1.0,44,3.4545454545454546,1.5909090909090908,26.266666666666666,598,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,nonparticipants_only,,,10,0,10,0,0,0,0.19006651444063705,0.16132857574393272,0.4992700672346925,0.00827250567936675,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.8000000000001,19.0,0.21640091116173096,,,0.0,0.0,58.0,0.660592255125284,0.014554169536691006,0.034482758620689655,0.0,0,2,19,16,38,,33,58,4.800000000000002,0.05466970387243732,6.000000000000003,0.06833712984054666,24,30,36
20,B,all_agents,,,40,25,10,5,25,0,0.2580017094629453,0.1961626903504962,0.6903942127662315,0.019331944135892384,138,30,0.75,44,3.4545454545454546,1.5909090909090908,32.4,638,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,participants_only,,,30,25,0,5,25,0,0.28044483151670363,0.20803403780908172,0.6903942127662315,0.021086919833815398,138,30,1.0,44,3.4545454545454546,1.5909090909090908,26.533333333333335,638,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,nonparticipants_only,,,10,0,10,0,0,0,0.19067234330167046,0.16331832943598285,0.49677371689851907,0.008022692311884645,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,step_totals,,,,,,,,,,,,,,,,,,,,,79.40000000000009,18.0,0.2267002518891685,,,0.0,0.0,50.0,0.629722921914357,0.015878481086073544,0.1,0.0,0,5,49,13,36,,32,50,5.400000000000002,0.06801007556675058,6.000000000000003,0.07556675062972287,27,30,28
20,B,reachability,0.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,all_agents,,,40,27,10,3,27,0,0.26244541181973763,0.20039996252161607,0.7027784442555822,0.020368618688957802,145,30,0.75,44,3.4545454545454546,1.5909090909090908,32.2,675,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,participants_only,,,30,27,0,3,27,0,0.2861696568945807,0.20895032224466306,0.7027784442555822,0.02231247424958562,145,30,1.0,44,3.4545454545454546,1.5909090909090908,26.266666666666666,675,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,nonparticipants_only,,,10,0,10,0,0,0,0.1912726765952085,0.16303766022372723,0.49428984831402645,0.007782974354619771,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.50000000000009,18.5,0.21142857142857122,,,0.0,0.0,58.0,0.6628571428571423,0.014079121933390865,0.1206896551724138,0.0,0,7,18,15,37,,33,58,5.000000000000002,0.057142857142857106,6.000000000000003,0.06857142857142853,25,30,36
22,B,all_agents,,,40,30,10,0,29,1,0.2667451171788397,0.20191756930572735,0.7146673064853589,0.021574162289122005,150,30,0.75,44,3.4545454545454546,1.5909090909090908,32.4,717,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,participants_only,,,30,30,0,0,29,1,0.2917040665506324,0.2092697206485038,0.7146673064853589,0.023756965235536144,150,30,1.0,44,3.4545454545454546,1.5909090909090908,26.533333333333335,717,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,nonparticipants_only,,,10,0,10,0,0,0,0.19186826906346177,0.1629940079676523,0.49181839907245634,0.007550363604955077,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,B,step_totals,,,,,,,,,,,,,,,,,,,,,77.70000000000007,16.5,0.21235521235521215,,,0.0,0.0,50.0,0.6435006435006428,0.0155412167598473,0.1,0.0,0,5,48,14,33,,29,50,5.200000000000002,0.06692406692406688,6.000000000000003,0.07722007722007718,26,30,26
23,B,all_agents,,,40,30,10,0,29,1,0.27087542837086453,0.20357251171222326,0.7260806142259446,0.0227027368563634,159,30,0.75,44,3.4545454545454546,1.5909090909090908,32.2,754,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,participants_only,,,30,30,0,0,29,1,0.2970140729772088,0.21580151492710536,0.7260806142259446,0.025096220049513247,159,30,1.0,44,3.4545454545454546,1.5909090909090908,26.266666666666666,754,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,nonparticipants_only,,,10,0,10,0,0,0,0.19245949455183192,0.16394825864101772,0.4893593070770941,0.007323542374632647,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,B,step_totals,,,,,,,,,,,,,,,,,,,,,87.00000000000009,18.0,0.20689655172413773,,,0.0,0.0,58.0,0.666666666666666,0.013323048865076431,0.15517241379310345,0.0,0,9,18,15,36,,33,58,5.000000000000002,0.057471264367816056,6.000000000000003,0.06896551724137927,25,30,36
24,B,all_agents,,,40,30,10,0,29,1,0.274815452570555,0.20495990398183045,0.7370373896569068,0.023968791741199567,166,30,0.75,44,3.4545454545454546,1.5909090909090908,32.4,795,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B,participants_only,,,30,30,0,0,29,1,0.30207203373647873,0.2158280732748154,0.7370373896569068,0.0266183838860576,166,30,1.0,44,3.4545454545454546,1.5909090909090908,26.533333333333335,795,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,B,nonparticipants_only,,,10,0,10,0,0,0,0.193045709072784,0.16433286304552744,0.4869125105417086,0.007104960704370429,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
