step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
15,A,nonparticipants_only,,,10,0,10,0,0,0,0.16878427263873025,0.13773435712865523,0.4730433271562959,0.00854981136257491,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.8000000000001,,,19.0,0.21640091116173096,0.0,0.0,57.0,0.6492027334851929,0.01352895535135554,0.12280701754385964,0.0,0,7,11,23,,38,36,57,5.8000000000000025,0.06605922551252844,6.000000000000003,0.06833712984054666,29,30,41
16,A,all_agents,,,40,24,10,6,24,0,0.25052021249713374,0.18878757657487708,0.7693022475924169,0.02198845374765446,132,30,0.75,34,2.7058823529411766,1.2352941176470589,31.325,561,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,participants_only,,,30,24,0,6,24,0,0.27752093903310626,0.210499697265092,0.7693022475924169,0.023641439020274532,132,30,1.0,34,2.7058823529411766,1.2352941176470589,25.1,561,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,nonparticipants_only,,,10,0,10,0,0,0,0.16951803288921605,0.13823127924258688,0.4706781105205144,0.00828102712814978,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.60000000000008,,,18.0,0.22332506203473923,0.0,0.0,51.0,0.6327543424317612,0.015532548828003043,0.0784313725490196,0.0,0,4,12,39,,36,33,51,5.600000000000002,0.06947890818858557,6.000000000000003,0.0744416873449131,28,30,38
17,A,all_agents,,,40,27,10,3,27,0,0.255097936884997,0.1926342871270323,0.7785301576887202,0.02307996693470497,139,30,0.75,34,2.7058823529411766,1.2352941176470589,31.175,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,participants_only,,,30,27,0,3,27,0,0.2833822595292828,0.21883001571882,0.7785301576887202,0.024898378397380776,139,30,1.0,34,2.7058823529411766,1.2352941176470589,24.9,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,nonparticipants_only,,,10,0,10,0,0,0,0.17024496895213942,0.1403725254415201,0.4683247199679118,0.008024697657324824,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.40000000000009,,,19.0,0.22248243559718947,0.0,0.0,55.0,0.6440281030444958,0.014744109575643408,0.12727272727272726,0.0,0,7,13,26,,38,36,55,5.400000000000002,0.06323185011709598,6.000000000000003,0.07025761124121775,27,30,44
