step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
22,D,all_agents,,,40,30,10,0,30,0,0.2730089590094526,0.1976943377018523,0.8194195372376053,0.028179324662466303,121,29,0.725,0,0.0,0.0,31.275,755,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D,participants_only,,,30,30,0,0,30,0,0.30607978214504866,0.21853466361453378,0.8194195372376053,0.030911493121603295,121,29,0.9666666666666667,0,0.0,0.0,25.033333333333335,755,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D,nonparticipants_only,,,10,0,10,0,0,0,0.17379648960266444,0.14818351292477727,0.4567330992048572,0.006858667170664826,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D,step_totals,,,,,,,,,,,,,,,,,,,,,78.50000000000007,,,17.5,0.2229299363057323,0.0,0.0,50.0,0.6369426751592351,0.014250682358519067,0.12,0.0,0,6,12,38,,35,32,50,5.600000000000002,0.07133757961783437,5.400000000000002,0.06878980891719742,28,27,37
23,D,all_agents,,,40,30,10,0,30,0,0.27669972085894323,0.20094953476441052,0.8212253418652292,0.029293089113777555,126,30,0.75,0,0.0,0.0,31.15,790,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D,participants_only,,,30,30,0,0,30,0,0.3107699249198694,0.22428182652566758,0.8212253418652292,0.03219676623036493,126,30,1.0,0,0.0,0.0,24.866666666666667,790,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D,nonparticipants_only,,,10,0,10,0,0,0,0.17448910867616493,0.15227603088354125,0.45444943370883295,0.006652712106977681,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D,step_totals,,,,,,,,,,,,,,,,,,,,,85.20000000000009,,,19.0,0.22300469483568053,0.0,0.0,55.0,0.6455399061032857,0.012339909883844957,0.09090909090909091,0.0,0,5,13,27,,38,37,55,5.400000000000002,0.0633802816901408,5.8000000000000025,0.06807511737089197,27,29,44
24,D,all_agents,,,40,30,10,0,30,0,0.28051331816905706,0.20330631740700708,0.82837632819062,0.030551863058732084,133,30,0.75,0,0.0,0.0,31.275,832,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,D,participants_only,,,30,30,0,0,30,0,0.31562546794002366,0.22337915785904316,0.82837632819062,0.03365370008186895,133,30,1.0,0,0.0,0.0,25.033333333333335,832,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,D,nonparticipants_only,,,10,0,10,0,0,0,0.17517686885615716,0.15375330124513858,0.45217718654028877,0.006451995250855985,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,D,step_totals,,,,,,,,,,,,,,,,,,,,,78.70000000000009,,,17.5,0.22236340533672147,0.0,0.0,50.0,0.6353240152477757,0.013860972831876501,0.14,0.0,0,7,12,38,,35,32,50,5.600000000000002,0.0711562897077509,5.600000000000002,0.0711562897077509,28,28,38
25,D,all_agents,,,40,30,10,0,30,0,0.2844691660708559,0.20712866847165468,0.8352412750629952,0.03173206994360089,142,30,0.75,0,0.0,0.0,31.15,874,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,D,participants_only,,,30,30,0,0,30,0,0.320672362269581,0.22722014819046407,0.8352412750629952,0.03498097429487045,142,30,1.0,0,0.0,0.0,24.866666666666667,874,,,,,,,,,,,,,,,,,,,,,,,,,,,
