step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
18,D,all_agents,,,40,23,10,7,23,0,0.2491083886922837,0.18701744151217908,0.7054508735900954,0.02226650245736667,97,29,0.725,0,0.0,0.0,32.2,552,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,D,participants_only,,,30,23,0,7,23,0,0.27605508188571304,0.20722080080109082,0.7054508735900954,0.023947214250889505,97,29,0.9666666666666667,0,0.0,0.0,26.266666666666666,552,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,D,nonparticipants_only,,,10,0,10,0,0,0,0.16826830911199556,0.1290776714230043,0.5712249483153664,0.008510875788068415,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,D,step_totals,,,,,,,,,,,,,,,,,,,,,77.7000000000001,,,18.5,0.23809523809523778,47.0,0.6048906048906041,0.0,0.0,0.01420605996637082,0.06382978723404255,0.0,0,3,57,8,,37,47,34,5.8000000000000025,0.07464607464607458,6.400000000000003,0.0823680823680823,29,32,35
19,D,all_agents,,,40,26,10,4,26,0,0.2535277718748573,0.19077333311171896,0.7172328386464916,0.023319445539251377,100,29,0.725,0,0.0,0.0,31.925,588,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,D,participants_only,,,30,26,0,4,26,0,0.28170486217377466,0.21203265584330222,0.7172328386464916,0.02515808520678385,100,29,0.9666666666666667,0,0.0,0.0,25.9,588,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,D,nonparticipants_only,,,10,0,10,0,0,0,0.16899650097810506,0.13115981459613607,0.5683688235737896,0.008276145524093809,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000009,,,20.0,0.22727272727272704,57.0,0.6477272727272722,0.0,0.0,0.01378803762252468,0.05263157894736842,0.0,0,3,31,15,,40,57,39,5.8000000000000025,0.06590909090909088,5.200000000000002,0.059090909090909055,29,26,35
20,D,all_agents,,,40,27,10,3,27,0,0.2574000879649496,0.19574780315192125,0.7285435251006319,0.024370802950395024,109,29,0.725,0,0.0,0.0,32.15,624,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,D,participants_only,,,30,27,0,3,27,0,0.28662758124145626,0.21269656728333514,0.7285435251006319,0.026392519746075017,109,29,0.9666666666666667,0,0.0,0.0,26.2,624,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,D,nonparticipants_only,,,10,0,10,0,0,0,0.16971760813542966,0.1315434127230864,0.5655269794559207,0.008054696204616144,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,D,step_totals,,,,,,,,,,,,,,,,,,,,,77.50000000000009,,,18.5,0.2387096774193546,47.0,0.6064516129032251,0.0,0.0,0.014170377519925267,0.19148936170212766,0.0,0,9,56,9,,37,47,34,5.8000000000000025,0.0748387096774193,6.200000000000003,0.07999999999999995,29,31,35
20,D,reachability,0.175,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,all_agents,,,40,27,10,3,27,0,0.26173544620426537,0.19865694312447998,0.7394017840966066,0.02554284599665074,113,30,0.75,0,0.0,0.0,31.875,662,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,participants_only,,,30,27,0,3,27,0,0.2921692845159131,0.21537397289621307,0.7394017840966066,0.02773967908292409,113,30,1.0,0,0.0,0.0,25.833333333333332,662,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,nonparticipants_only,,,10,0,10,0,0,0,0.17043393126932202,0.1324086301709341,0.5626993445586411,0.00783772456527645,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000009,,,20.0,0.22727272727272704,57.0,0.6477272727272722,0.0,0.0,0.013569595780572014,0.07017543859649122,0.0,0,4,30,15,,40,57,39,5.8000000000000025,0.06590909090909088,5.200000000000002,0.059090909090909055,29,26,35
22,D,all_agents,,,40,28,10,2,28,0,0.26511817721777886,0.19961355102877334,0.7498257127327423,0.026667503013214383,120,30,0.75,0,0.0,0.0,32.1,696,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D,participants_only,,,30,28,0,2,28,0,0.2964428282963133,0.21644107156387132,0.7498257127327423,0.02908843490133101,120,30,1.0,0,0.0,0.0,26.133333333333333,696,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D,nonparticipants_only,,,10,0,10,0,0,0,0.17114422398217558,0.13502071723243295,0.5598858478358479,0.007629902166561369,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,D,step_totals,,,,,,,,,,,,,,,,,,,,,76.70000000000009,,,17.5,0.22816166883963468,47.0,0.6127770534550189,0.0,0.0,0.012839154513216818,0.14893617021276595,0.0,0,7,56,9,,35,47,33,6.000000000000003,0.07822685788787478,6.200000000000003,0.08083441981747061,30,31,33
23,D,all_agents,,,40,30,10,0,30,0,0.26916478344443334,0.20318785609563228,0.7598326842234326,0.02783574861968859,128,30,0.75,0,0.0,0.0,31.825,733,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D,participants_only,,,30,30,0,0,30,0,0.30160329478058107,0.21948113932233354,0.7598326842234326,0.03042913025107574,128,30,1.0,0,0.0,0.0,25.766666666666666,733,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D,nonparticipants_only,,,10,0,10,0,0,0,0.17184924943599006,0.1370441200151299,0.5570864185966687,0.007428519513062506,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.00000000000009,,,20.0,0.22727272727272704,57.0,0.6477272727272722,0.0,0.0,0.012813051380151862,0.14035087719298245,0.0,0,8,30,15,,40,57,39,6.000000000000003,0.06818181818181815,5.000000000000002,0.05681818181818178,30,25,35
24,D,all_agents,,,40,30,10,0,30,0,0.2726626318569056,0.20301304074624965,0.7694393768544954,0.029006872629189537,132,30,0.75,0,0.0,0.0,32.05,771,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,D,participants_only,,,30,30,0,0,30,0,0.306033654451603,0.2193908611199193,0.7694393768544954,0.031810833094684285,132,30,1.0,0,0.0,0.0,26.066666666666666,771,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,D,nonparticipants_only,,,10,0,10,0,0,0,0.17254956407281336,0.13823430973681505,0.5543009865036854,0.0072314894445156385,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,D,step_totals,,,,,,,,,,,,,,,,,,,,,76.70000000000009,,,17.5,0.22816166883963468,47.0,0.6127770534550189,0.0,0.0,0.013229995346923717,0.0851063829787234,0.0,0,4,56,9,,35,47,33,6.000000000000003,0.07822685788787478,6.200000000000003,0.08083441981747061,30,31,33
25,D,all_agents,,,40,30,10,0,30,0,0.27622055547285623,0.20380254664039849,0.7786618017803155,0.030089148615540285,139,30,0.75,0,0.0,0.0,31.8,804,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,D,participants_only,,,30,30,0,0,30,0,0.3105461412800508,0.22449774427564556,0.7786618017803155,0.03305790291337295,139,30,1.0,0,0.0,0.0,25.733333333333334,804,,,,,,,,,,,,,,,,,,,,,,,,,,,
