step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
15,A,participants_only,,,30,20,0,10,20,0,0.25555484776406023,0.21251512355870758,0.6988629659621868,0.019639721714321694,119,30,1.0,59,3.6610169491525424,1.7627118644067796,25.133333333333333,469,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,nonparticipants_only,,,10,0,10,0,0,0,0.18729361235028902,0.15259124607155156,0.6542686564534242,0.014707441567766105,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.5000000000001,19.5,0.22285714285714261,,,0.0,0.0,55.0,0.6285714285714279,0.01341694317645358,0.05454545454545454,0.0,0,3,5,37,39,,38,55,7.0000000000000036,0.07999999999999995,6.000000000000003,0.06857142857142852,35,30,41
16,A,all_agents,,,40,21,10,9,21,0,0.2425791233266485,0.19712490008988098,0.7109084473236993,0.020139925645526108,123,30,0.75,59,3.6610169491525424,1.7627118644067796,31.3,501,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,participants_only,,,30,21,0,9,21,0,0.26079807084743284,0.21375713248719805,0.7109084473236993,0.020736985787428944,123,30,1.0,59,3.6610169491525424,1.7627118644067796,25.066666666666666,501,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,nonparticipants_only,,,10,0,10,0,0,0,0.18792228076429549,0.15240154833988073,0.6509973131711572,0.014365584634636478,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,step_totals,,,,,,,,,,,,,,,,,,,,,81.0000000000001,20.0,0.2469135802469133,,,0.0,0.0,48.0,0.5925925925925919,0.014143306204111873,0.08333333333333333,0.0,0,4,5,56,40,,37,48,7.0000000000000036,0.08641975308641969,6.000000000000003,0.07407407407407401,35,30,45
17,A,all_agents,,,40,23,10,7,23,0,0.24676849593190117,0.1992083527193878,0.7224721094307514,0.021064998923624057,129,30,0.75,59,3.6610169491525424,1.7627118644067796,31.15,534,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,participants_only,,,30,23,0,7,23,0,0.26617607325966347,0.21762222218414276,0.7224721094307514,0.02190238030252899,129,30,1.0,59,3.6610169491525424,1.7627118644067796,24.866666666666667,534,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,nonparticipants_only,,,10,0,10,0,0,0,0.18854576394861422,0.15356422349373683,0.6477423266053014,0.014033006094112371,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.3000000000001,19.5,0.22860492379835848,,,0.0,0.0,53.0,0.6213364595545128,0.013697807786012548,0.11320754716981132,0.0,0,6,6,39,39,,38,53,6.800000000000003,0.07971864009378658,6.000000000000003,0.0703399765533411,34,30,43
18,A,all_agents,,,40,26,10,4,26,0,0.25057154466683434,0.19847674818336797,0.7335732250535213,0.02203591337894842,135,30,0.75,59,3.6610169491525424,1.7627118644067796,31.225,567,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,participants_only,,,30,26,0,4,26,0,0.27104070372371303,0.22005158396773317,0.7335732250535213,0.023135400232399,135,30,1.0,59,3.6610169491525424,1.7627118644067796,24.966666666666665,567,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,nonparticipants_only,,,10,0,10,0,0,0,0.1891640674961983,0.1529195336264091,0.6445036149722749,0.013709615148647094,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,step_totals,,,,,,,,,,,,,,,,,,,,,78.3000000000001,18.5,0.23627075351213253,,,0.0,0.0,47.0,0.600255427841634,0.013830874792750938,0.1276595744680851,0.0,0,6,6,56,37,,36,47,6.800000000000003,0.08684546615581092,6.000000000000003,0.0766283524904214,34,30,45
19,A,all_agents,,,40,28,10,2,28,0,0.25486844814879395,0.2020727407306115,0.7362374928029861,0.023028420288126794,140,30,0.75,59,3.6610169491525424,1.7627118644067796,31.075,603,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,participants_only,,,30,28,0,2,28,0,0.27656565278653056,0.22178238573660852,0.7362374928029861,0.02435584076220399,140,30,1.0,59,3.6610169491525424,1.7627118644067796,24.766666666666666,603,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,nonparticipants_only,,,10,0,10,0,0,0,0.18977683423558422,0.15290439981667692,0.6412810968974135,0.01339693459679339,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.9000000000001,19.5,0.2296819787985863,,,0.0,0.0,53.0,0.6242638398115422,0.014052856618827755,0.09433962264150944,0.0,0,5,8,38,39,,38,53,6.400000000000003,0.07538280329799758,6.000000000000003,0.07067137809187274,32,30,43
20,A,all_agents,,,40,30,10,0,30,0,0.25842290972975995,0.2036594549059208,0.7467879930908666,0.024087214454242965,145,30,0.75,59,3.6610169491525424,1.7627118644067796,31.15,636,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,participants_only,,,30,30,0,0,30,0,0.28110208413452825,0.2240652814209938,0.7467879930908666,0.0256956291254532,145,30,1.0,59,3.6610169491525424,1.7627118644067796,24.866666666666667,636,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,nonparticipants_only,,,10,0,10,0,0,0,0.19038538651545495,0.15434910914927974,0.6380746914129265,0.013089831020429474,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
